iperf 3.1.3
Linux host117 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.16, port 5002
      Cookie: host117.1473073200.898759.67527a0b32
      TCP MSS: 1448 (default)
[  5] local 192.168.110.17 port 49832 connected to 192.168.110.16 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  32.00-32.50  sec   242 MBytes  4061 Mbits/sec    0   2.64 MBytes       
[  5]  32.50-33.00  sec   228 MBytes  3817 Mbits/sec    0   2.64 MBytes       
[  5]  33.00-33.50  sec   244 MBytes  4088 Mbits/sec    0   2.64 MBytes       
[  5]  33.50-34.00  sec   245 MBytes  4109 Mbits/sec    0   2.64 MBytes       
[  5]  34.00-34.50  sec   240 MBytes  4026 Mbits/sec    0   2.64 MBytes       
[  5]  34.50-35.00  sec   239 MBytes  4006 Mbits/sec    0   2.64 MBytes       
[  5]  35.00-35.50  sec   238 MBytes  3994 Mbits/sec    0   2.64 MBytes       
[  5]  35.50-36.00  sec   235 MBytes  3934 Mbits/sec    0   2.64 MBytes       
[  5]  36.00-36.50  sec   232 MBytes  3888 Mbits/sec    0   2.64 MBytes       
[  5]  36.50-37.00  sec   232 MBytes  3898 Mbits/sec    0   2.64 MBytes       
[  5]  37.00-37.50  sec   232 MBytes  3897 Mbits/sec    0   2.64 MBytes       
[  5]  37.50-38.00  sec   230 MBytes  3854 Mbits/sec    0   2.64 MBytes       
[  5]  38.00-38.50  sec   225 MBytes  3785 Mbits/sec    0   2.64 MBytes       
[  5]  38.50-39.00  sec   221 MBytes  3712 Mbits/sec    0   2.64 MBytes       
[  5]  39.00-39.50  sec   268 MBytes  4486 Mbits/sec    0   2.72 MBytes       
[  5]  39.50-40.00  sec   274 MBytes  4592 Mbits/sec    0   2.72 MBytes       
[  5]  40.00-40.50  sec   248 MBytes  4164 Mbits/sec    0   2.72 MBytes       
[  5]  40.50-41.00  sec   234 MBytes  3920 Mbits/sec    0   2.72 MBytes       
[  5]  41.00-41.50  sec   268 MBytes  4487 Mbits/sec    0   2.72 MBytes       
[  5]  41.50-42.00  sec   286 MBytes  4795 Mbits/sec    0   2.72 MBytes       
[  5]  42.00-42.50  sec   291 MBytes  4883 Mbits/sec    0   2.72 MBytes       
[  5]  42.50-43.00  sec   272 MBytes  4562 Mbits/sec    0   2.81 MBytes       
[  5]  43.00-43.50  sec   252 MBytes  4226 Mbits/sec    0   2.81 MBytes       
[  5]  43.50-44.00  sec   252 MBytes  4227 Mbits/sec    0   2.81 MBytes       
[  5]  44.00-44.50  sec   253 MBytes  4250 Mbits/sec    0   2.81 MBytes       
[  5]  44.50-45.00  sec   250 MBytes  4193 Mbits/sec    0   2.81 MBytes       
[  5]  45.00-45.50  sec   247 MBytes  4147 Mbits/sec    0   2.81 MBytes       
[  5]  45.50-46.00  sec   248 MBytes  4150 Mbits/sec    0   2.81 MBytes       
[  5]  46.00-46.50  sec   243 MBytes  4079 Mbits/sec    0   2.81 MBytes       
[  5]  46.50-47.00  sec   221 MBytes  3717 Mbits/sec    0   2.81 MBytes       
[  5]  47.00-47.50  sec   210 MBytes  3520 Mbits/sec    0   2.81 MBytes       
[  5]  47.50-48.00  sec   211 MBytes  3537 Mbits/sec    0   2.81 MBytes       
[  5]  48.00-48.50  sec   212 MBytes  3554 Mbits/sec    0   2.81 MBytes       
[  5]  48.50-49.00  sec   209 MBytes  3501 Mbits/sec    0   2.81 MBytes       
[  5]  49.00-49.50  sec   128 MBytes  2140 Mbits/sec  340   2.00 MBytes       
[  5]  49.50-50.00  sec   214 MBytes  3590 Mbits/sec   31   2.09 MBytes       
[  5]  50.00-50.50  sec   212 MBytes  3566 Mbits/sec    0   2.09 MBytes       
[  5]  50.50-51.00  sec   210 MBytes  3521 Mbits/sec    0   2.09 MBytes       
[  5]  51.00-51.50  sec   209 MBytes  3517 Mbits/sec    0   2.09 MBytes       
[  5]  51.50-52.00  sec   205 MBytes  3438 Mbits/sec    0   2.09 MBytes       
[  5]  52.00-52.50  sec   203 MBytes  3405 Mbits/sec    0   2.09 MBytes       
[  5]  52.50-53.00  sec   203 MBytes  3405 Mbits/sec    0   2.09 MBytes       
[  5]  53.00-53.50  sec   202 MBytes  3386 Mbits/sec    0   2.09 MBytes       
