iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.13, port 5002
      Cookie: host115.1472986800.755252.238cf94a18
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 46431 connected to 192.168.110.13 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 268435456000 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  31.50-32.00  sec  97.7 MBytes  1640 Mbits/sec    0   2.28 MBytes       
[  5]  32.00-32.50  sec  98.6 MBytes  1654 Mbits/sec    0   2.28 MBytes       
[  5]  32.50-33.00  sec   100 MBytes  1685 Mbits/sec    0   2.28 MBytes       
[  5]  33.00-33.50  sec   101 MBytes  1688 Mbits/sec    0   2.28 MBytes       
[  5]  33.50-34.00  sec   101 MBytes  1689 Mbits/sec    0   2.28 MBytes       
[  5]  34.00-34.50  sec   101 MBytes  1693 Mbits/sec    0   2.28 MBytes       
[  5]  34.50-35.00  sec   100 MBytes  1679 Mbits/sec    0   2.28 MBytes       
[  5]  35.00-35.50  sec  98.7 MBytes  1655 Mbits/sec    0   2.28 MBytes       
[  5]  35.50-36.00  sec  98.7 MBytes  1657 Mbits/sec    0   2.28 MBytes       
[  5]  36.00-36.50  sec  99.2 MBytes  1665 Mbits/sec    1   2.28 MBytes       
[  5]  36.50-37.00  sec   103 MBytes  1733 Mbits/sec    0   2.28 MBytes       
[  5]  37.00-37.50  sec   104 MBytes  1750 Mbits/sec    0   2.28 MBytes       
[  5]  37.50-38.00  sec   101 MBytes  1701 Mbits/sec    0   2.28 MBytes       
[  5]  38.00-38.50  sec  98.7 MBytes  1656 Mbits/sec    0   2.28 MBytes       
[  5]  38.50-39.00  sec  98.3 MBytes  1650 Mbits/sec    0   2.28 MBytes       
[  5]  39.00-39.50  sec  97.8 MBytes  1641 Mbits/sec    0   2.28 MBytes       
[  5]  39.50-40.00  sec  99.4 MBytes  1668 Mbits/sec    0   2.28 MBytes       
[  5]  40.00-40.50  sec   104 MBytes  1744 Mbits/sec    0   2.28 MBytes       
[  5]  40.50-41.00  sec   105 MBytes  1753 Mbits/sec    0   2.28 MBytes       
[  5]  41.00-41.50  sec   104 MBytes  1740 Mbits/sec    0   2.28 MBytes       
[  5]  41.50-42.00  sec  99.1 MBytes  1664 Mbits/sec    0   2.28 MBytes       
[  5]  42.00-42.50  sec   104 MBytes  1740 Mbits/sec    0   2.28 MBytes       
[  5]  42.50-43.00  sec   101 MBytes  1699 Mbits/sec    0   2.28 MBytes       
[  5]  43.00-43.50  sec   101 MBytes  1691 Mbits/sec    0   2.28 MBytes       
[  5]  43.50-44.00  sec   101 MBytes  1689 Mbits/sec    0   2.28 MBytes       
[  5]  44.00-44.50  sec   101 MBytes  1688 Mbits/sec    0   2.28 MBytes       
[  5]  44.50-45.00  sec   101 MBytes  1688 Mbits/sec    0   2.28 MBytes       
[  5]  45.00-45.50  sec   102 MBytes  1708 Mbits/sec    0   2.28 MBytes       
[  5]  45.50-46.00  sec   102 MBytes  1720 Mbits/sec    0   2.28 MBytes       
[  5]  46.00-46.50  sec   102 MBytes  1717 Mbits/sec    0   2.28 MBytes       
[  5]  46.50-47.00  sec   103 MBytes  1734 Mbits/sec    0   2.28 MBytes       
[  5]  47.00-47.50  sec   104 MBytes  1740 Mbits/sec    0   2.28 MBytes       
[  5]  47.50-48.00  sec   105 MBytes  1760 Mbits/sec    0   2.28 MBytes       
[  5]  48.00-48.50  sec   112 MBytes  1883 Mbits/sec    0   2.28 MBytes       
[  5]  48.50-49.00  sec  97.5 MBytes  1636 Mbits/sec    0   2.28 MBytes       
[  5]  49.00-49.50  sec  98.7 MBytes  1656 Mbits/sec    0   2.28 MBytes       
[  5]  49.50-50.00  sec   105 MBytes  1769 Mbits/sec    0   2.28 MBytes       
[  5]  50.00-50.50  sec   105 MBytes  1768 Mbits/sec    0   2.28 MBytes       
[  5]  50.50-51.00  sec  99.4 MBytes  1667 Mbits/sec    0   2.28 MBytes       
[  5]  51.00-51.50  sec   100 MBytes  1686 Mbits/sec    0   2.28 MBytes       
[  5]  51.50-52.00  sec   100 MBytes  1684 Mbits/sec    0   2.28 MBytes       
[  5]  52.00-52.50  sec   100 MBytes  1686 Mbits/sec    0   2.28 MBytes       
[  5]  52.50-53.00  sec   100 MBytes  1683 Mbits/sec    0   2.28 MBytes       
[  5]  53.00-53.50  sec   101 MBytes  1687 Mbits/sec    0   2.28 MBytes       
[  5]  53.50-54.00  sec   101 MBytes  1692 Mbits/sec    0   2.28 MBytes       
