iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.5, port 5004
      Cookie: host106.1473078600.180832.48d170ce55
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 58028 connected to 192.168.110.5 port 5004
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  31.50-32.00  sec   233 MBytes  3909 Mbits/sec    0   2.51 MBytes       
[  5]  32.00-32.50  sec   235 MBytes  3942 Mbits/sec    0   2.51 MBytes       
[  5]  32.50-33.00  sec   238 MBytes  3998 Mbits/sec    0   2.51 MBytes       
[  5]  33.00-33.50  sec   235 MBytes  3941 Mbits/sec    0   2.51 MBytes       
[  5]  33.50-34.00  sec   233 MBytes  3918 Mbits/sec    0   2.51 MBytes       
[  5]  34.00-34.50  sec   234 MBytes  3928 Mbits/sec    0   2.51 MBytes       
[  5]  34.50-35.00  sec   233 MBytes  3912 Mbits/sec    0   2.51 MBytes       
[  5]  35.00-35.50  sec   232 MBytes  3896 Mbits/sec    0   2.51 MBytes       
[  5]  35.50-36.00  sec   231 MBytes  3879 Mbits/sec    0   2.51 MBytes       
[  5]  36.00-36.50  sec   231 MBytes  3879 Mbits/sec    0   2.51 MBytes       
[  5]  36.50-37.00  sec   230 MBytes  3861 Mbits/sec    0   2.51 MBytes       
[  5]  37.00-37.50  sec   234 MBytes  3919 Mbits/sec    0   2.51 MBytes       
[  5]  37.50-38.00  sec   233 MBytes  3918 Mbits/sec    0   2.51 MBytes       
[  5]  38.00-38.50  sec   231 MBytes  3872 Mbits/sec    0   2.51 MBytes       
[  5]  38.50-39.00  sec   226 MBytes  3786 Mbits/sec    0   2.51 MBytes       
[  5]  39.00-39.50  sec   224 MBytes  3760 Mbits/sec    0   2.51 MBytes       
[  5]  39.50-40.00  sec   221 MBytes  3709 Mbits/sec    0   2.51 MBytes       
[  5]  40.00-40.50  sec   218 MBytes  3662 Mbits/sec    0   2.51 MBytes       
[  5]  40.50-41.00  sec   216 MBytes  3626 Mbits/sec    0   2.51 MBytes       
[  5]  41.00-41.50  sec   214 MBytes  3586 Mbits/sec    0   2.51 MBytes       
[  5]  41.50-42.00  sec   219 MBytes  3682 Mbits/sec    0   2.51 MBytes       
[  5]  42.00-42.50  sec   219 MBytes  3676 Mbits/sec    0   2.51 MBytes       
[  5]  42.50-43.00  sec   217 MBytes  3648 Mbits/sec    0   2.51 MBytes       
[  5]  43.00-43.50  sec   216 MBytes  3626 Mbits/sec    0   2.51 MBytes       
[  5]  43.50-44.00  sec   216 MBytes  3621 Mbits/sec    0   2.51 MBytes       
[  5]  44.00-44.50  sec   215 MBytes  3601 Mbits/sec    0   2.51 MBytes       
[  5]  44.50-45.00  sec   215 MBytes  3600 Mbits/sec    0   2.51 MBytes       
[  5]  45.00-45.50  sec   214 MBytes  3585 Mbits/sec    0   2.51 MBytes       
[  5]  45.50-46.00  sec   213 MBytes  3576 Mbits/sec    0   2.51 MBytes       
[  5]  46.00-46.50  sec   213 MBytes  3571 Mbits/sec    0   2.51 MBytes       
[  5]  46.50-47.00  sec   212 MBytes  3562 Mbits/sec    0   2.51 MBytes       
[  5]  47.00-47.50  sec   213 MBytes  3583 Mbits/sec    0   2.51 MBytes       
[  5]  47.50-48.00  sec   220 MBytes  3700 Mbits/sec    0   2.51 MBytes       
[  5]  48.00-48.50  sec   228 MBytes  3814 Mbits/sec    0   2.51 MBytes       
[  5]  48.50-49.00  sec   232 MBytes  3896 Mbits/sec    0   2.51 MBytes       
[  5]  49.00-49.50  sec   233 MBytes  3907 Mbits/sec    0   2.51 MBytes       
[  5]  49.50-50.00  sec   230 MBytes  3859 Mbits/sec    0   2.51 MBytes       
[  5]  50.00-50.50  sec   226 MBytes  3794 Mbits/sec    0   2.51 MBytes       
[  5]  50.50-51.00  sec   226 MBytes  3796 Mbits/sec    0   2.51 MBytes       
[  5]  51.00-51.50  sec   226 MBytes  3788 Mbits/sec    0   2.51 MBytes       
[  5]  51.50-52.00  sec   226 MBytes  3784 Mbits/sec    0   2.51 MBytes       
[  5]  52.00-52.50  sec   225 MBytes  3774 Mbits/sec    0   2.51 MBytes       
[  5]  52.50-53.00  sec   226 MBytes  3786 Mbits/sec    0   2.51 MBytes       
[  5]  53.00-53.50  sec   230 MBytes  3866 Mbits/sec    0   2.51 MBytes       
[  5]  53.50-54.00  sec   230 MBytes  3858 Mbits/sec    0   2.51 MBytes       
