model	 train	  test       iter	trainLoss	 testLoss	  trainIF	  trainCR   trainAccuracy	   testIF	   testCR    testAccuracy	
IP3c1	  1000	 10000	      342	 1.624430	 1.623233	 7.959000	 2.411000	 0.302928	 8.017900	 2.444100	 0.304830	 0.000000	 0.000000	 26743285.000000	
IP3c1	  1000	 10000	      581	 1.586283	 1.582621	 4.000000	 2.096000	 0.524000	 4.000000	 2.124100	 0.531025	 0.355000	 0.355300	 40439903.000000	
IP3c1	  1000	 10000	      581	 1.586283	 1.582621	 4.000000	 2.096000	 0.524000	 4.000000	 2.124100	 0.531025	 0.355000	 0.355300	 41510199.000000	
avg3-50	 10000	 10000	    23369	 0.027333	 1.406327	 4.000000	 4.000000	 1.000000	 4.113000	 2.091300	 0.508461	 1.000000	 0.218700	 38584914.000000	
avg3-50	 10000	  1000	    23369	 0.027333	 1.430914	 4.000000	 4.000000	 1.000000	 4.129000	 2.078000	 0.503270	 1.000000	 0.224000	 4009156.000000	
avg3-50	 19000	  1000	    26252	 0.039131	 1.402790	 4.000000	 4.000000	 1.000000	 4.211000	 2.068000	 0.491095	 1.000000	 0.191000	 3951259.000000	
avg3-50	    10	  1000	    23369	 0.024837	 1.376797	 4.000000	 4.000000	 1.000000	 4.068000	 2.124000	 0.522124	 1.000000	 0.233000	 3975678.000000	
avg3-50	    10	 10000	    23369	 0.024837	 1.406327	 4.000000	 4.000000	 1.000000	 4.113000	 2.091300	 0.508461	 1.000000	 0.218700	 39586882.000000	
avg3-25	 10000	 10000	    25800	 0.030747	 1.489685	 4.000000	 4.000000	 1.000000	 4.697400	 1.915200	 0.407715	 1.000000	 0.114600	 39498016.000000	
avg3-0	 10000	 10000	    28478	 0.028993	 1.512840	 4.000000	 4.000000	 1.000000	 4.097900	 2.071300	 0.505454	 1.000000	 0.244300	 39633260.000000	
avg3-25	 10000	 10000	    31604	 0.029933	 1.482807	 4.000000	 4.000000	 1.000000	 5.106500	 1.961300	 0.384079	 1.000000	 0.098900	 39733704.000000	
avg3-25	 10000	 10000	    24787	 0.034515	 1.487124	 4.000000	 4.000000	 1.000000	 4.917900	 1.940200	 0.394518	 1.000000	 0.108700	 39482542.000000	
avg3-25	  1000	 10000	    23846	 0.062700	 1.526053	 4.000000	 3.995000	 0.998750	 5.026100	 1.892800	 0.376594	 0.992000	 0.088500	 40909113.000000	
avg3-25	  1000	 10000	    25800	 0.030393	 1.489685	 4.000000	 4.000000	 1.000000	 4.697400	 1.915200	 0.407715	 1.000000	 0.114600	 39761677.000000	
avg1-50	  1000	 10000	    29918	 0.036352	 1.484997	 4.000000	 4.000000	 1.000000	 4.376000	 2.004200	 0.457998	 1.000000	 0.168600	 39573896.000000	
avg1-25	  1000	 10000	    32261	 0.023954	 1.551366	 4.000000	 4.000000	 1.000000	 4.486700	 1.843300	 0.410836	 1.000000	 0.124200	 39382207.000000	
univ1	   500	   273	     5284	 1.675521	 2.578643	 10.918000	 2.478000	 0.226965	 11.051282	 1.776557	 0.160756	 0.010000	 0.000000	 1079269.000000	
univ1	   500	   273	    58834	 1.645215	 4.179587	 8.252000	 1.856000	 0.224915	 8.864469	 1.553114	 0.175207	 0.006000	 0.000000	 776725.000000	
univ1	   500	   273	    29243	 0.026963	 30.838443	 4.010000	 4.000000	 0.997506	 5.168498	 0.879121	 0.170092	 0.996000	 0.036630	 775796.000000	
univ1	   500	   273	    29320	 0.030924	 25.364075	 4.014000	 3.994000	 0.995017	 5.142857	 0.871795	 0.169516	 0.994000	 0.036630	 793403.000000	
univ1	   500	   273	    79668	 0.006567	 31.078866	 4.000000	 4.000000	 1.000000	 5.648352	 0.904762	 0.160182	 1.000000	 0.032967	 774852.000000	
univ1	   500	   273	      288	 1.707230	 1.706272	 8.002000	 1.372000	 0.171457	 8.018315	 1.322344	 0.164915	 0.000000	 0.000000	 776091.000000	
univ1	   500	   273	    79668	 0.006567	 31.078866	 4.000000	 4.000000	 1.000000	 5.648352	 0.904762	 0.160182	 1.000000	 0.032967	 754438.000000	
avg3_25	  1000	  1000	    27999	 0.106648	 1.517072	 4.347000	 3.974000	 0.914194	 4.586000	 1.829000	 0.398823	 0.889000	 0.134000	 4003053.000000	
avg3_25	  1000	  1000	    35783	 0.018088	 1.609015	 4.004000	 4.000000	 0.999001	 4.422000	 1.779000	 0.402307	 0.996000	 0.133000	 3994448.000000	
avg3_25	 10000	  1000	    20032	 0.029457	 1.631200	 4.016400	 3.999900	 0.995892	 4.299000	 1.813000	 0.421726	 0.993500	 0.145000	 3970257.000000	
avg3_25	 10000	  1000	    20032	 0.029457	 1.631200	 4.016400	 3.999900	 0.995892	 4.299000	 1.813000	 0.421726	 0.993500	 0.145000	 4069109.000000	
univ1	   500	   273	     1079	 510489.997947	 61692418.836731	 3.480000	 0.522000	 0.150000	 3.655678	 0.468864	 0.128257	 0.000000	 0.000000	 776694.000000	
univ1	   500	   273	     3595	 1.708304	 1.716617	 5.000000	 0.876000	 0.175200	 5.000000	 0.739927	 0.147985	 0.000000	 0.000000	 778105.000000	
univ1	   500	   273	    24174	 0.493522	 102.251486	 5.330000	 3.372000	 0.632645	 6.256410	 0.912088	 0.145785	 0.720000	 0.003663	 771064.000000	
univ1	   500	   273	    26826	 0.018383	 26.366243	 3.996000	 3.996000	 1.000000	 4.970696	 0.699634	 0.140752	 0.998000	 0.007326	 766388.000000	
univ2	   600	   263	     7688	 1.711571	 1.720784	 12.001667	 1.911667	 0.159283	 12.000000	 1.718631	 0.143219	 0.000000	 0.000000	 739195.000000	
jG	 10000	  1000	     4531	 0.357601	 0.274897	 4.000000	 3.621100	 0.905275	 4.000000	 3.712000	 0.928000	 0.822800	 0.856000	 4017609.000000	
jG	 10000	  1000	     4531	 0.357601	 0.274897	 4.000000	 3.621100	 0.905275	 4.000000	 3.712000	 0.928000	 0.822800	 0.856000	 3927705.000000	
jG	 10000	  1000	    24306	 0.307270	 0.314477	 3.992900	 3.623500	 0.907486	 3.994000	 3.699000	 0.926139	 0.822400	 0.848000	 4012073.000000	
jG	 10000	  1000	    26335	 0.307164	 0.314646	 3.993000	 3.623500	 0.907463	 3.995000	 3.700000	 0.926158	 0.822400	 0.849000	 3999239.000000	
