iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.16, port 5001
      Cookie: host115.1473073200.036546.49ed06d425
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 36597 connected to 192.168.110.16 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  32.00-32.50  sec   254 MBytes  4253 Mbits/sec    0   2.40 MBytes       
[  5]  32.50-33.00  sec   253 MBytes  4254 Mbits/sec    0   2.40 MBytes       
[  5]  33.00-33.50  sec   252 MBytes  4233 Mbits/sec    0   2.40 MBytes       
[  5]  33.50-34.00  sec   251 MBytes  4210 Mbits/sec    0   2.40 MBytes       
[  5]  34.00-34.50  sec   249 MBytes  4170 Mbits/sec    0   2.40 MBytes       
[  5]  34.50-35.00  sec   249 MBytes  4174 Mbits/sec    0   2.40 MBytes       
[  5]  35.00-35.50  sec   249 MBytes  4173 Mbits/sec    0   2.40 MBytes       
[  5]  35.50-36.00  sec   248 MBytes  4167 Mbits/sec    0   2.40 MBytes       
[  5]  36.00-36.50  sec   248 MBytes  4163 Mbits/sec    0   2.40 MBytes       
[  5]  36.50-37.00  sec   252 MBytes  4232 Mbits/sec    0   2.40 MBytes       
[  5]  37.00-37.50  sec   250 MBytes  4195 Mbits/sec    0   2.40 MBytes       
[  5]  37.50-38.00  sec   249 MBytes  4172 Mbits/sec    0   2.40 MBytes       
[  5]  38.00-38.50  sec   248 MBytes  4152 Mbits/sec    0   2.40 MBytes       
[  5]  38.50-39.00  sec   246 MBytes  4128 Mbits/sec    0   2.40 MBytes       
[  5]  39.00-39.50  sec   246 MBytes  4130 Mbits/sec    0   2.40 MBytes       
[  5]  39.50-40.00  sec   250 MBytes  4191 Mbits/sec    0   2.40 MBytes       
[  5]  40.00-40.50  sec   249 MBytes  4178 Mbits/sec    0   2.40 MBytes       
[  5]  40.50-41.00  sec   248 MBytes  4150 Mbits/sec    0   2.40 MBytes       
[  5]  41.00-41.50  sec   247 MBytes  4148 Mbits/sec    0   2.40 MBytes       
[  5]  41.50-42.00  sec   247 MBytes  4144 Mbits/sec    0   2.40 MBytes       
[  5]  42.00-42.50  sec   246 MBytes  4131 Mbits/sec    0   2.40 MBytes       
[  5]  42.50-43.00  sec   246 MBytes  4131 Mbits/sec    0   2.40 MBytes       
[  5]  43.00-43.50  sec   246 MBytes  4128 Mbits/sec    0   2.40 MBytes       
[  5]  43.50-44.00  sec   246 MBytes  4126 Mbits/sec    0   2.40 MBytes       
[  5]  44.00-44.50  sec   246 MBytes  4131 Mbits/sec    0   2.40 MBytes       
[  5]  44.50-45.00  sec   247 MBytes  4146 Mbits/sec    0   2.40 MBytes       
[  5]  45.00-45.50  sec   246 MBytes  4131 Mbits/sec    0   2.40 MBytes       
[  5]  45.50-46.00  sec   250 MBytes  4190 Mbits/sec    0   2.40 MBytes       
[  5]  46.00-46.50  sec   251 MBytes  4205 Mbits/sec    0   2.40 MBytes       
[  5]  46.50-47.00  sec   250 MBytes  4187 Mbits/sec    0   2.40 MBytes       
[  5]  47.00-47.50  sec   250 MBytes  4201 Mbits/sec    0   2.40 MBytes       
[  5]  47.50-48.00  sec   250 MBytes  4187 Mbits/sec    0   2.40 MBytes       
[  5]  48.00-48.50  sec   251 MBytes  4215 Mbits/sec    0   2.40 MBytes       
[  5]  48.50-49.00  sec   252 MBytes  4232 Mbits/sec    0   2.40 MBytes       
[  5]  49.00-49.50  sec   255 MBytes  4277 Mbits/sec    0   2.40 MBytes       
[  5]  49.50-50.00  sec   254 MBytes  4260 Mbits/sec    0   2.40 MBytes       
[  5]  50.00-50.50  sec   146 MBytes  2454 Mbits/sec  379   2.06 MBytes       
[  5]  50.50-51.00  sec   253 MBytes  4249 Mbits/sec    0   2.12 MBytes       
[  5]  51.00-51.50  sec   253 MBytes  4244 Mbits/sec    0   2.12 MBytes       
[  5]  51.50-52.00  sec   253 MBytes  4248 Mbits/sec    0   2.12 MBytes       
[  5]  52.00-52.50  sec   253 MBytes  4246 Mbits/sec    0   2.20 MBytes       
[  5]  52.50-53.00  sec   255 MBytes  4278 Mbits/sec    0   2.25 MBytes       
[  5]  53.00-53.50  sec   255 MBytes  4291 Mbits/sec    0   2.25 MBytes       
[  5]  53.50-54.00  sec   256 MBytes  4284 Mbits/sec    0   2.25 MBytes       
[  5]  54.00-54.50  sec   254 MBytes  4261 Mbits/sec    0   2.25 MBytes       
