iperf 3.1.3
Linux host107 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 10:00:00 GMT
Connecting to host 192.168.110.8, port 5002
      Cookie: host107.1472983200.148841.10d65a3911
      TCP MSS: 1448 (default)
[  5] local 192.168.110.7 port 44995 connected to 192.168.110.8 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  31.50-32.00  sec   273 MBytes  4586 Mbits/sec    0   2.48 MBytes       
[  5]  32.00-32.50  sec   274 MBytes  4591 Mbits/sec    0   2.48 MBytes       
[  5]  32.50-33.00  sec   273 MBytes  4586 Mbits/sec    0   2.48 MBytes       
[  5]  33.00-33.50  sec   274 MBytes  4605 Mbits/sec    0   2.48 MBytes       
[  5]  33.50-34.00  sec   275 MBytes  4612 Mbits/sec    0   2.48 MBytes       
[  5]  34.00-34.50  sec   275 MBytes  4622 Mbits/sec    0   2.48 MBytes       
[  5]  34.50-35.00  sec   276 MBytes  4635 Mbits/sec    0   2.48 MBytes       
[  5]  35.00-35.50  sec   278 MBytes  4669 Mbits/sec    0   2.48 MBytes       
[  5]  35.50-36.00  sec   278 MBytes  4668 Mbits/sec    0   2.48 MBytes       
[  5]  36.00-36.50  sec   277 MBytes  4654 Mbits/sec    0   2.48 MBytes       
[  5]  36.50-37.00  sec   276 MBytes  4635 Mbits/sec    0   2.48 MBytes       
[  5]  37.00-37.50  sec   275 MBytes  4622 Mbits/sec    0   2.48 MBytes       
[  5]  37.50-38.00  sec   275 MBytes  4612 Mbits/sec    0   2.48 MBytes       
[  5]  38.00-38.50  sec   275 MBytes  4615 Mbits/sec    0   2.48 MBytes       
[  5]  38.50-39.00  sec   275 MBytes  4607 Mbits/sec    0   2.48 MBytes       
[  5]  39.00-39.50  sec   275 MBytes  4608 Mbits/sec    0   2.48 MBytes       
[  5]  39.50-40.00  sec   275 MBytes  4614 Mbits/sec    0   2.48 MBytes       
[  5]  40.00-40.50  sec   276 MBytes  4634 Mbits/sec    0   2.48 MBytes       
[  5]  40.50-41.00  sec   276 MBytes  4635 Mbits/sec    0   2.48 MBytes       
[  5]  41.00-41.50  sec   277 MBytes  4649 Mbits/sec    0   2.48 MBytes       
[  5]  41.50-42.00  sec   278 MBytes  4655 Mbits/sec    0   2.48 MBytes       
[  5]  42.00-42.50  sec   278 MBytes  4657 Mbits/sec    0   2.48 MBytes       
[  5]  42.50-43.00  sec   278 MBytes  4655 Mbits/sec    0   2.48 MBytes       
[  5]  43.00-43.50  sec   278 MBytes  4657 Mbits/sec    0   2.48 MBytes       
[  5]  43.50-44.00  sec   277 MBytes  4648 Mbits/sec    0   2.48 MBytes       
[  5]  44.00-44.50  sec   276 MBytes  4629 Mbits/sec    0   2.48 MBytes       
[  5]  44.50-45.00  sec   275 MBytes  4622 Mbits/sec    0   2.48 MBytes       
[  5]  45.00-45.50  sec   275 MBytes  4609 Mbits/sec    0   2.48 MBytes       
[  5]  45.50-46.00  sec   274 MBytes  4605 Mbits/sec    0   2.48 MBytes       
[  5]  46.00-46.50  sec   274 MBytes  4591 Mbits/sec    0   2.48 MBytes       
