iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.14, port 5002
      Cookie: host115.1473078600.731689.18327b8464
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 48860 connected to 192.168.110.14 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  27.00-27.50  sec   256 MBytes  4298 Mbits/sec    0   2.56 MBytes       
[  5]  27.50-28.00  sec   256 MBytes  4297 Mbits/sec    0   2.56 MBytes       
[  5]  28.00-28.50  sec   255 MBytes  4279 Mbits/sec    0   2.56 MBytes       
[  5]  28.50-29.00  sec   251 MBytes  4207 Mbits/sec    0   2.56 MBytes       
[  5]  29.00-29.50  sec   251 MBytes  4214 Mbits/sec    0   2.56 MBytes       
[  5]  29.50-30.00  sec   252 MBytes  4234 Mbits/sec    0   2.56 MBytes       
[  5]  30.00-30.50  sec   254 MBytes  4264 Mbits/sec    0   2.56 MBytes       
[  5]  30.50-31.00  sec   257 MBytes  4313 Mbits/sec    0   2.56 MBytes       
[  5]  31.00-31.50  sec   256 MBytes  4298 Mbits/sec    0   2.56 MBytes       
[  5]  31.50-32.00  sec   256 MBytes  4298 Mbits/sec    0   2.56 MBytes       
[  5]  32.00-32.50  sec   255 MBytes  4278 Mbits/sec    0   2.56 MBytes       
[  5]  32.50-33.00  sec   254 MBytes  4270 Mbits/sec    0   2.56 MBytes       
[  5]  33.00-33.50  sec   255 MBytes  4272 Mbits/sec    0   2.56 MBytes       
[  5]  33.50-34.00  sec   256 MBytes  4289 Mbits/sec    0   2.56 MBytes       
[  5]  34.00-34.50  sec   255 MBytes  4277 Mbits/sec    0   2.56 MBytes       
[  5]  34.50-35.00  sec   256 MBytes  4301 Mbits/sec    0   2.56 MBytes       
[  5]  35.00-35.50  sec   261 MBytes  4371 Mbits/sec    0   2.56 MBytes       
[  5]  35.50-36.00  sec   260 MBytes  4361 Mbits/sec    0   2.56 MBytes       
[  5]  36.00-36.50  sec   259 MBytes  4341 Mbits/sec    0   2.56 MBytes       
[  5]  36.50-37.00  sec   260 MBytes  4361 Mbits/sec    0   2.56 MBytes       
[  5]  37.00-37.50  sec   219 MBytes  3683 Mbits/sec    0   2.56 MBytes       
[  5]  37.50-38.00  sec   211 MBytes  3543 Mbits/sec    0   2.56 MBytes       
[  5]  38.00-38.50  sec   212 MBytes  3567 Mbits/sec    0   2.56 MBytes       
[  5]  38.50-39.00  sec   214 MBytes  3586 Mbits/sec    0   2.56 MBytes       
[  5]  39.00-39.50  sec   222 MBytes  3731 Mbits/sec    0   2.56 MBytes       
[  5]  39.50-40.00  sec   232 MBytes  3898 Mbits/sec    0   2.56 MBytes       
[  5]  40.00-40.50  sec   241 MBytes  4049 Mbits/sec    0   2.56 MBytes       
[  5]  40.50-41.00  sec   241 MBytes  4048 Mbits/sec    0   2.56 MBytes       
[  5]  41.00-41.50  sec   250 MBytes  4188 Mbits/sec    0   2.56 MBytes       
[  5]  41.50-42.00  sec   248 MBytes  4166 Mbits/sec    0   2.56 MBytes       
[  5]  42.00-42.50  sec   247 MBytes  4142 Mbits/sec    0   2.56 MBytes       
[  5]  42.50-43.00  sec   247 MBytes  4137 Mbits/sec    0   2.56 MBytes       
[  5]  43.00-43.50  sec   247 MBytes  4139 Mbits/sec    0   2.56 MBytes       
[  5]  43.50-44.00  sec   246 MBytes  4130 Mbits/sec    0   2.56 MBytes       
[  5]  44.00-44.50  sec   247 MBytes  4144 Mbits/sec    0   2.56 MBytes       
[  5]  44.50-45.00  sec   254 MBytes  4256 Mbits/sec    0   2.56 MBytes       
[  5]  45.00-45.50  sec   253 MBytes  4251 Mbits/sec    0   2.56 MBytes       
[  5]  45.50-46.00  sec   252 MBytes  4222 Mbits/sec    0   2.56 MBytes       
[  5]  46.00-46.50  sec   251 MBytes  4213 Mbits/sec    0   2.56 MBytes       
[  5]  46.50-47.00  sec   251 MBytes  4211 Mbits/sec    0   2.56 MBytes       
[  5]  47.00-47.50  sec   250 MBytes  4193 Mbits/sec    0   2.56 MBytes       
[  5]  47.50-48.00  sec   251 MBytes  4208 Mbits/sec    0   2.56 MBytes       
[  5]  48.00-48.50  sec   259 MBytes  4340 Mbits/sec    0   2.56 MBytes       
[  5]  48.50-49.00  sec   258 MBytes  4328 Mbits/sec    0   2.56 MBytes       
[  5]  49.00-49.50  sec   258 MBytes  4334 Mbits/sec    0   2.56 MBytes       
[  5]  49.50-50.00  sec   253 MBytes  4247 Mbits/sec    0   2.56 MBytes       
[  5]  50.00-50.50  sec   254 MBytes  4258 Mbits/sec    0   2.56 MBytes       
[  5]  50.50-51.00  sec   261 MBytes  4382 Mbits/sec    0   2.56 MBytes       
[  5]  51.00-51.50  sec   264 MBytes  4424 Mbits/sec    0   2.56 MBytes       
[  5]  51.50-52.00  sec   264 MBytes  4437 Mbits/sec    0   2.56 MBytes       
[  5]  52.00-52.50  sec   264 MBytes  4433 Mbits/sec    0   2.56 MBytes       
[  5]  52.50-53.00  sec   263 MBytes  4419 Mbits/sec    0   2.56 MBytes       
[  5]  53.00-53.50  sec   261 MBytes  4384 Mbits/sec    0   2.56 MBytes       
[  5]  53.50-54.00  sec   262 MBytes  4389 Mbits/sec    0   2.56 MBytes       
[  5]  54.00-54.50  sec   261 MBytes  4372 Mbits/sec    0   2.56 MBytes       
[  5]  54.50-55.00  sec   261 MBytes  4380 Mbits/sec    0   2.56 MBytes       
[  5]  55.00-55.50  sec   261 MBytes  4379 Mbits/sec    0   2.56 MBytes       
[  5]  55.50-56.00  sec   261 MBytes  4379 Mbits/sec    0   2.56 MBytes       
[  5]  56.00-56.50  sec   262 MBytes  4399 Mbits/sec    0   2.56 MBytes       
[  5]  56.50-57.00  sec   262 MBytes  4401 Mbits/sec    0   2.56 MBytes       
[  5]  57.00-57.50  sec   264 MBytes  4436 Mbits/sec    0   2.56 MBytes       
[  5]  57.50-58.00  sec   263 MBytes  4413 Mbits/sec    0   2.56 MBytes       
[  5]  58.00-58.50  sec   262 MBytes  4394 Mbits/sec    0   2.56 MBytes       
[  5]  58.50-59.00  sec   261 MBytes  4382 Mbits/sec    0   2.56 MBytes       
[  5]  59.00-59.50  sec   261 MBytes  4383 Mbits/sec    0   2.56 MBytes       
[  5]  59.50-60.00  sec   261 MBytes  4376 Mbits/sec    0   2.56 MBytes       
[  5]  60.00-60.50  sec   261 MBytes  4373 Mbits/sec    0   2.56 MBytes       
[  5]  60.50-61.00  sec   261 MBytes  4375 Mbits/sec    0   2.56 MBytes       
[  5]  61.00-61.50  sec   261 MBytes  4382 Mbits/sec    0   2.56 MBytes       
[  5]  61.50-62.00  sec   266 MBytes  4457 Mbits/sec    0   2.56 MBytes       
[  5]  62.00-62.50  sec   263 MBytes  4413 Mbits/sec    0   2.56 MBytes       
[  5]  62.50-63.00  sec   263 MBytes  4418 Mbits/sec    0   2.56 MBytes       
[  5]  63.00-63.50  sec   262 MBytes  4393 Mbits/sec    0   2.56 MBytes       
[  5]  63.50-64.00  sec   261 MBytes  4381 Mbits/sec    0   2.56 MBytes       
[  5]  64.00-64.50  sec   262 MBytes  4393 Mbits/sec    0   2.56 MBytes       
[  5]  64.50-65.00  sec   262 MBytes  4397 Mbits/sec    0   2.56 MBytes       
[  5]  65.00-65.50  sec   261 MBytes  4384 Mbits/sec    0   2.56 MBytes       
[  5]  65.50-66.00  sec   261 MBytes  4377 Mbits/sec    0   2.56 MBytes       
[  5]  66.00-66.50  sec   262 MBytes  4394 Mbits/sec    0   2.56 MBytes       
[  5]  66.50-67.00  sec   264 MBytes  4424 Mbits/sec    0   2.56 MBytes       
[  5]  67.00-67.50  sec   262 MBytes  4404 Mbits/sec    0   2.56 MBytes       
[  5]  67.50-68.00  sec   261 MBytes  4379 Mbits/sec    0   2.56 MBytes       
[  5]  68.00-68.50  sec   260 MBytes  4361 Mbits/sec    0   2.56 MBytes       
[  5]  68.50-69.00  sec   259 MBytes  4342 Mbits/sec    0   2.56 MBytes       
[  5]  69.00-69.50  sec   259 MBytes  4340 Mbits/sec    0   2.56 MBytes       
[  5]  69.50-70.00  sec   257 MBytes  4319 Mbits/sec    0   2.56 MBytes       
[  5]  70.00-70.50  sec   255 MBytes  4286 Mbits/sec    0   2.56 MBytes       
[  5]  70.50-71.00  sec   258 MBytes  4319 Mbits/sec    0   2.56 MBytes       
[  5]  71.00-71.50  sec   262 MBytes  4396 Mbits/sec    0   2.56 MBytes       
[  5]  71.50-72.00  sec   257 MBytes  4305 Mbits/sec    0   2.56 MBytes       
[  5]  72.00-72.50  sec   256 MBytes  4296 Mbits/sec    0   2.56 MBytes       
[  5]  72.50-73.00  sec   256 MBytes  4296 Mbits/sec    0   2.56 MBytes       
[  5]  73.00-73.50  sec   255 MBytes  4287 Mbits/sec    0   2.56 MBytes       
[  5]  73.50-74.00  sec   255 MBytes  4276 Mbits/sec    0   2.56 MBytes       
[  5]  74.00-74.50  sec   258 MBytes  4335 Mbits/sec    0   2.56 MBytes       
[  5]  74.50-75.00  sec   256 MBytes  4298 Mbits/sec    0   2.56 MBytes       
[  5]  75.00-75.50  sec   257 MBytes  4319 Mbits/sec    0   2.56 MBytes       
[  5]  75.50-76.00  sec   258 MBytes  4321 Mbits/sec    0   2.56 MBytes       
[  5]  76.00-76.50  sec   258 MBytes  4319 Mbits/sec    0   2.56 MBytes       
[  5]  76.50-77.00  sec   257 MBytes  4310 Mbits/sec    0   2.56 MBytes       
[  5]  77.00-77.50  sec   256 MBytes  4300 Mbits/sec    0   2.56 MBytes       
[  5]  77.50-78.00  sec   258 MBytes  4325 Mbits/sec    0   2.56 MBytes       
[  5]  78.00-78.50  sec   258 MBytes  4319 Mbits/sec    0   2.56 MBytes       
[  5]  78.50-79.00  sec   258 MBytes  4320 Mbits/sec    0   2.56 MBytes       
[  5]  79.00-79.50  sec   260 MBytes  4365 Mbits/sec    0   2.56 MBytes       
[  5]  79.50-80.00  sec   261 MBytes  4383 Mbits/sec    0   2.56 MBytes       
[  5]  80.00-80.50  sec   259 MBytes  4341 Mbits/sec    1   2.56 MBytes       
[  5]  80.50-81.00  sec   259 MBytes  4338 Mbits/sec    0   2.56 MBytes       
[  5]  81.00-81.50  sec   258 MBytes  4331 Mbits/sec    0   2.56 MBytes       
[  5]  81.50-82.00  sec   257 MBytes  4314 Mbits/sec    0   2.56 MBytes       
[  5]  82.00-82.50  sec   256 MBytes  4299 Mbits/sec    0   2.56 MBytes       
[  5]  82.50-83.00  sec   256 MBytes  4290 Mbits/sec    0   2.56 MBytes       
[  5]  83.00-83.50  sec   255 MBytes  4277 Mbits/sec    0   2.56 MBytes       
[  5]  83.50-84.00  sec   255 MBytes  4276 Mbits/sec    0   2.56 MBytes       
[  5]  84.00-84.50  sec   255 MBytes  4277 Mbits/sec    0   2.56 MBytes       
[  5]  84.50-85.00  sec   255 MBytes  4277 Mbits/sec    0   2.56 MBytes       
[  5]  85.00-85.50  sec   255 MBytes  4275 Mbits/sec    0   2.56 MBytes       
[  5]  85.50-86.00  sec   255 MBytes  4278 Mbits/sec    0   2.56 MBytes       
[  5]  86.00-86.50  sec   255 MBytes  4278 Mbits/sec    0   2.56 MBytes       
[  5]  86.50-87.00  sec   256 MBytes  4298 Mbits/sec    0   2.56 MBytes       
[  5]  87.00-87.50  sec   256 MBytes  4300 Mbits/sec    0   2.56 MBytes       
[  5]  87.50-88.00  sec   257 MBytes  4310 Mbits/sec    0   2.56 MBytes       
[  5]  88.00-88.50  sec   255 MBytes  4274 Mbits/sec    0   2.56 MBytes       
[  5]  88.50-89.00  sec   254 MBytes  4258 Mbits/sec    0   2.56 MBytes       
[  5]  89.00-89.50  sec   254 MBytes  4267 Mbits/sec    0   2.56 MBytes       
[  5]  89.50-90.00  sec   254 MBytes  4256 Mbits/sec    0   2.56 MBytes       
