iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.3, port 5001
      Cookie: host106.1473078600.180767.5edff65f79
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 51589 connected to 192.168.110.3 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  31.50-32.00  sec   268 MBytes  4488 Mbits/sec    0   2.59 MBytes       
[  5]  32.00-32.50  sec   268 MBytes  4488 Mbits/sec    0   2.59 MBytes       
[  5]  32.50-33.00  sec   268 MBytes  4488 Mbits/sec    0   2.59 MBytes       
[  5]  33.00-33.50  sec   267 MBytes  4478 Mbits/sec    0   2.59 MBytes       
[  5]  33.50-34.00  sec   266 MBytes  4462 Mbits/sec    0   2.59 MBytes       
[  5]  34.00-34.50  sec   266 MBytes  4463 Mbits/sec    0   2.59 MBytes       
[  5]  34.50-35.00  sec   266 MBytes  4468 Mbits/sec    0   2.59 MBytes       
[  5]  35.00-35.50  sec   265 MBytes  4446 Mbits/sec    0   2.59 MBytes       
[  5]  35.50-36.00  sec   265 MBytes  4447 Mbits/sec    0   2.59 MBytes       
[  5]  36.00-36.50  sec   265 MBytes  4446 Mbits/sec    0   2.59 MBytes       
[  5]  36.50-37.00  sec   264 MBytes  4425 Mbits/sec    0   2.59 MBytes       
[  5]  37.00-37.50  sec   259 MBytes  4338 Mbits/sec    0   2.59 MBytes       
[  5]  37.50-38.00  sec   259 MBytes  4338 Mbits/sec    0   2.59 MBytes       
[  5]  38.00-38.50  sec   258 MBytes  4333 Mbits/sec    0   2.59 MBytes       
[  5]  38.50-39.00  sec   257 MBytes  4308 Mbits/sec    0   2.59 MBytes       
[  5]  39.00-39.50  sec   255 MBytes  4276 Mbits/sec    0   2.59 MBytes       
[  5]  39.50-40.00  sec   254 MBytes  4254 Mbits/sec    0   2.59 MBytes       
[  5]  40.00-40.50  sec   250 MBytes  4205 Mbits/sec    0   2.59 MBytes       
[  5]  40.50-41.00  sec   249 MBytes  4166 Mbits/sec    0   2.59 MBytes       
[  5]  41.00-41.50  sec   245 MBytes  4120 Mbits/sec    0   2.59 MBytes       
[  5]  41.50-42.00  sec   252 MBytes  4234 Mbits/sec    0   2.59 MBytes       
[  5]  42.00-42.50  sec   252 MBytes  4232 Mbits/sec    0   2.59 MBytes       
[  5]  42.50-43.00  sec   250 MBytes  4195 Mbits/sec    0   2.59 MBytes       
[  5]  43.00-43.50  sec   249 MBytes  4182 Mbits/sec    0   2.59 MBytes       
[  5]  43.50-44.00  sec   247 MBytes  4143 Mbits/sec    0   2.59 MBytes       
[  5]  44.00-44.50  sec   246 MBytes  4129 Mbits/sec    0   2.59 MBytes       
[  5]  44.50-45.00  sec   246 MBytes  4131 Mbits/sec    0   2.59 MBytes       
[  5]  45.00-45.50  sec   246 MBytes  4121 Mbits/sec    0   2.59 MBytes       
[  5]  45.50-46.00  sec   245 MBytes  4109 Mbits/sec    0   2.59 MBytes       
[  5]  46.00-46.50  sec   245 MBytes  4108 Mbits/sec    0   2.59 MBytes       
[  5]  46.50-47.00  sec   245 MBytes  4109 Mbits/sec    0   2.59 MBytes       
[  5]  47.00-47.50  sec   246 MBytes  4131 Mbits/sec    0   2.59 MBytes       
[  5]  47.50-48.00  sec   254 MBytes  4256 Mbits/sec    0   2.59 MBytes       
[  5]  48.00-48.50  sec   257 MBytes  4320 Mbits/sec    0   2.59 MBytes       
[  5]  48.50-49.00  sec   260 MBytes  4372 Mbits/sec    0   2.59 MBytes       
[  5]  49.00-49.50  sec   260 MBytes  4369 Mbits/sec    0   2.59 MBytes       
[  5]  49.50-50.00  sec   259 MBytes  4340 Mbits/sec    0   2.59 MBytes       
[  5]  50.00-50.50  sec   259 MBytes  4339 Mbits/sec    0   2.59 MBytes       
[  5]  50.50-51.00  sec   258 MBytes  4335 Mbits/sec    0   2.59 MBytes       
[  5]  51.00-51.50  sec   259 MBytes  4336 Mbits/sec    0   2.59 MBytes       
[  5]  51.50-52.00  sec   259 MBytes  4338 Mbits/sec    0   2.59 MBytes       
[  5]  52.00-52.50  sec   259 MBytes  4340 Mbits/sec    0   2.59 MBytes       
[  5]  52.50-53.00  sec   259 MBytes  4341 Mbits/sec    0   2.59 MBytes       
[  5]  53.00-53.50  sec   262 MBytes  4403 Mbits/sec    0   2.59 MBytes       
[  5]  53.50-54.00  sec   262 MBytes  4406 Mbits/sec    0   2.59 MBytes       
[  5]  54.00-54.50  sec   261 MBytes  4381 Mbits/sec    0   2.59 MBytes       
[  5]  54.50-55.00  sec   266 MBytes  4468 Mbits/sec    0   2.59 MBytes       
[  5]  55.00-55.50  sec   266 MBytes  4466 Mbits/sec    0   2.59 MBytes       
[  5]  55.50-56.00  sec   269 MBytes  4512 Mbits/sec    0   2.59 MBytes       
[  5]  56.00-56.50  sec   269 MBytes  4504 Mbits/sec    0   2.59 MBytes       
[  5]  56.50-57.00  sec   269 MBytes  4510 Mbits/sec    0   2.59 MBytes       
[  5]  57.00-57.50  sec   268 MBytes  4501 Mbits/sec    0   2.59 MBytes       
[  5]  57.50-58.00  sec   268 MBytes  4500 Mbits/sec    0   2.59 MBytes       
[  5]  58.00-58.50  sec   267 MBytes  4484 Mbits/sec    0   2.59 MBytes       
