iperf 3.1.3
Linux host113 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt20-1+deb8u3 (2016-01-17) x86_64
Time: Sun, 04 Sep 2016 10:00:00 GMT
Connecting to host 192.168.110.5, port 5001
      Cookie: host113.1472983200.869307.5402687f4b
      TCP MSS: 1448 (default)
[  5] local 192.168.110.13 port 56783 connected to 192.168.110.5 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 35433480192 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  32.00-32.50  sec  26.4 MBytes   443 Mbits/sec    0    341 KBytes       
[  5]  32.50-33.00  sec  24.3 MBytes   408 Mbits/sec    0    342 KBytes       
[  5]  33.00-33.50  sec  24.6 MBytes   413 Mbits/sec    0    342 KBytes       
[  5]  33.50-34.00  sec  20.9 MBytes   350 Mbits/sec    6    264 KBytes       
[  5]  34.00-34.50  sec  21.2 MBytes   355 Mbits/sec    0    286 KBytes       
[  5]  34.50-35.00  sec  22.7 MBytes   381 Mbits/sec    0    301 KBytes       
[  5]  35.00-35.50  sec  23.6 MBytes   396 Mbits/sec    0    315 KBytes       
[  5]  35.50-36.00  sec  26.2 MBytes   439 Mbits/sec    0    324 KBytes       
[  5]  36.00-36.50  sec  26.7 MBytes   447 Mbits/sec    0    332 KBytes       
[  5]  36.50-37.00  sec  27.0 MBytes   452 Mbits/sec    0    337 KBytes       
[  5]  37.00-37.50  sec  26.7 MBytes   449 Mbits/sec    0    341 KBytes       
[  5]  37.50-38.00  sec  25.7 MBytes   431 Mbits/sec    0    342 KBytes       
[  5]  38.00-38.50  sec  25.7 MBytes   431 Mbits/sec    0    344 KBytes       
[  5]  38.50-39.00  sec  25.9 MBytes   435 Mbits/sec    0    344 KBytes       
[  5]  39.00-39.50  sec  26.3 MBytes   441 Mbits/sec    0    345 KBytes       
[  5]  39.50-40.00  sec  26.1 MBytes   439 Mbits/sec    0    346 KBytes       
[  5]  40.00-40.50  sec  25.8 MBytes   434 Mbits/sec    0    348 KBytes       
[  5]  40.50-41.00  sec  25.5 MBytes   428 Mbits/sec    0    349 KBytes       
[  5]  41.00-41.50  sec  25.5 MBytes   428 Mbits/sec    0    349 KBytes       
[  5]  41.50-42.00  sec  26.4 MBytes   443 Mbits/sec    0    354 KBytes       
[  5]  42.00-42.50  sec  26.2 MBytes   439 Mbits/sec    0    362 KBytes       
[  5]  42.50-43.00  sec  26.2 MBytes   440 Mbits/sec    0    373 KBytes       
[  5]  43.00-43.50  sec  24.1 MBytes   404 Mbits/sec    5    287 KBytes       
[  5]  43.50-44.00  sec  24.1 MBytes   405 Mbits/sec    0    308 KBytes       
[  5]  44.00-44.50  sec  24.7 MBytes   415 Mbits/sec    0    327 KBytes       
[  5]  44.50-45.00  sec  25.0 MBytes   420 Mbits/sec    0    342 KBytes       
[  5]  45.00-45.50  sec  25.7 MBytes   431 Mbits/sec    0    352 KBytes       
[  5]  45.50-46.00  sec  26.7 MBytes   448 Mbits/sec    0    361 KBytes       
[  5]  46.00-46.50  sec  23.5 MBytes   394 Mbits/sec    0    366 KBytes       
[  5]  46.50-47.00  sec  22.6 MBytes   378 Mbits/sec    6    264 KBytes       
[  5]  47.00-47.50  sec  22.0 MBytes   369 Mbits/sec    0    279 KBytes       
[  5]  47.50-48.00  sec  22.1 MBytes   371 Mbits/sec    0    290 KBytes       
[  5]  48.00-48.50  sec  22.4 MBytes   375 Mbits/sec    0    300 KBytes       
[  5]  48.50-49.00  sec  23.0 MBytes   385 Mbits/sec    0    305 KBytes       
[  5]  49.00-49.50  sec  26.5 MBytes   444 Mbits/sec    0    310 KBytes       
[  5]  49.50-50.00  sec  26.0 MBytes   435 Mbits/sec    0    311 KBytes       
[  5]  50.00-50.50  sec  23.8 MBytes   400 Mbits/sec    0    313 KBytes       
[  5]  50.50-51.00  sec  23.5 MBytes   395 Mbits/sec    0    314 KBytes       
[  5]  51.00-51.50  sec  23.7 MBytes   398 Mbits/sec    0    315 KBytes       
[  5]  51.50-52.00  sec  23.9 MBytes   401 Mbits/sec    0    317 KBytes       
[  5]  52.00-52.50  sec  23.7 MBytes   398 Mbits/sec    0    317 KBytes       
[  5]  52.50-53.00  sec  23.9 MBytes   401 Mbits/sec    0    318 KBytes       
[  5]  53.00-53.50  sec  23.5 MBytes   395 Mbits/sec    0    321 KBytes       
[  5]  53.50-54.00  sec  24.4 MBytes   410 Mbits/sec    0    325 KBytes       
[  5]  54.00-54.50  sec  24.9 MBytes   417 Mbits/sec    0    329 KBytes       
[  5]  54.50-55.00  sec  25.4 MBytes   427 Mbits/sec    0    338 KBytes       
[  5]  55.00-55.50  sec  26.4 MBytes   444 Mbits/sec    0    351 KBytes       
[  5]  55.50-56.00  sec  26.8 MBytes   450 Mbits/sec    0    366 KBytes       
[  5]  56.00-56.50  sec  28.2 MBytes   474 Mbits/sec    0    386 KBytes       
[  5]  56.50-57.00  sec  28.9 MBytes   486 Mbits/sec    0    410 KBytes       
[  5]  57.00-57.50  sec  30.5 MBytes   512 Mbits/sec    0    438 KBytes       
[  5]  57.50-58.00  sec  31.1 MBytes   522 Mbits/sec    0    474 KBytes       
[  5]  58.00-58.50  sec  31.4 MBytes   527 Mbits/sec    0    512 KBytes       
[  5]  58.50-59.00  sec  31.9 MBytes   535 Mbits/sec    0    551 KBytes       
[  5]  59.00-59.50  sec  34.9 MBytes   586 Mbits/sec    0    577 KBytes       
[  5]  59.50-60.00  sec  34.4 MBytes   576 Mbits/sec    0    577 KBytes       
[  5]  60.00-60.50  sec  32.8 MBytes   551 Mbits/sec    0    577 KBytes       
[  5]  60.50-61.00  sec  32.2 MBytes   540 Mbits/sec    0    577 KBytes       
[  5]  61.00-61.50  sec  32.1 MBytes   538 Mbits/sec    0    577 KBytes       
[  5]  61.50-62.00  sec  32.1 MBytes   539 Mbits/sec    0    577 KBytes       
[  5]  62.00-62.50  sec  32.0 MBytes   537 Mbits/sec    0    577 KBytes       
[  5]  62.50-63.00  sec  32.0 MBytes   537 Mbits/sec    0    577 KBytes       
[  5]  63.00-63.50  sec  32.4 MBytes   543 Mbits/sec    0    609 KBytes       
[  5]  63.50-64.00  sec  37.1 MBytes   622 Mbits/sec    0    658 KBytes       
[  5]  64.00-64.50  sec  38.3 MBytes   642 Mbits/sec    0    658 KBytes       
[  5]  64.50-65.00  sec  38.3 MBytes   642 Mbits/sec    0    658 KBytes       
