iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Thu, 01 Sep 2016 07:36:53 GMT
Connecting to host 192.168.110.16, port 5201
      Cookie: host115.1472715413.908879.369fb45e73
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 37080 connected to 192.168.110.16 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 100 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  23.00-23.50  sec   192 MBytes  3232 Mbits/sec  1505   2.72 MBytes       
[  5]  23.50-24.00  sec   561 MBytes  9416 Mbits/sec    0   2.72 MBytes       
[  5]  24.00-24.50  sec   561 MBytes  9416 Mbits/sec    0   2.72 MBytes       
[  5]  24.50-25.00  sec   561 MBytes  9416 Mbits/sec    0   2.72 MBytes       
[  5]  25.00-25.50  sec   561 MBytes  9414 Mbits/sec    0   2.72 MBytes       
[  5]  25.50-26.00  sec   561 MBytes  9418 Mbits/sec    0   2.72 MBytes       
[  5]  26.00-26.50  sec   561 MBytes  9415 Mbits/sec    0   2.72 MBytes       
[  5]  26.50-27.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  27.00-27.50  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  27.50-28.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  28.00-28.50  sec   561 MBytes  9416 Mbits/sec    0   2.78 MBytes       
[  5]  28.50-29.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  29.00-29.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  29.50-30.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  30.00-30.50  sec   561 MBytes  9411 Mbits/sec    0   2.78 MBytes       
[  5]  30.50-31.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  31.00-31.50  sec   561 MBytes  9418 Mbits/sec    0   2.78 MBytes       
[  5]  31.50-32.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  32.00-32.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  32.50-33.00  sec   561 MBytes  9413 Mbits/sec    0   2.78 MBytes       
[  5]  33.00-33.50  sec   561 MBytes  9416 Mbits/sec    0   2.78 MBytes       
[  5]  33.50-34.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  34.00-34.50  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  34.50-35.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  35.00-35.50  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  35.50-36.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  36.00-36.50  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  36.50-37.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  37.00-37.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  37.50-38.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  38.00-38.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  38.50-39.00  sec   561 MBytes  9412 Mbits/sec    0   2.78 MBytes       
[  5]  39.00-39.50  sec   561 MBytes  9417 Mbits/sec    0   2.78 MBytes       
[  5]  39.50-40.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  40.00-40.50  sec   334 MBytes  5597 Mbits/sec   59   1.41 KBytes       
[  5]  40.50-41.00  sec  98.4 MBytes  1652 Mbits/sec  1401   2.59 MBytes       
[  5]  41.00-41.50  sec   561 MBytes  9412 Mbits/sec    0   2.65 MBytes       
[  5]  41.50-42.00  sec   561 MBytes  9417 Mbits/sec    0   2.65 MBytes       
[  5]  42.00-42.50  sec   561 MBytes  9412 Mbits/sec    0   2.65 MBytes       
[  5]  42.50-43.00  sec   561 MBytes  9413 Mbits/sec    0   2.71 MBytes       
[  5]  43.00-43.50  sec   561 MBytes  9417 Mbits/sec    0   2.71 MBytes       
[  5]  43.50-44.00  sec   561 MBytes  9414 Mbits/sec    0   2.76 MBytes       
[  5]  44.00-44.50  sec   561 MBytes  9411 Mbits/sec    0   2.76 MBytes       
[  5]  44.50-45.00  sec   561 MBytes  9419 Mbits/sec    0   2.76 MBytes       
[  5]  45.00-45.50  sec   561 MBytes  9411 Mbits/sec    0   2.76 MBytes       
[  5]  45.50-46.00  sec   561 MBytes  9417 Mbits/sec    0   2.76 MBytes       
[  5]  46.00-46.50  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  46.50-47.00  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  47.00-47.50  sec   561 MBytes  9414 Mbits/sec    0   2.76 MBytes       
[  5]  47.50-48.00  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  48.00-48.50  sec   561 MBytes  9414 Mbits/sec    0   2.76 MBytes       
[  5]  48.50-49.00  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
